布靡そ絪腹,笲そ絪腹,腹,布贺絪腹,布贺絏,隔絬そ隔絪腹,诀絪腹,ó腹,ó丁(),璸禣(),璸禣(),ó丁(),璸禣(),璸禣(),ユ龟Ι,﹍布基,纔磃布基,纔磃肂
EasyCard,47000,1182500072,1,穛ρ1布,1133,279,931-FW,2017/9/30 16:37,17,ぱ不,2017/9/30 18:43,0,浆ó,78,89,78,11
EasyCard,47000,1182524392,1,穛ρ1布,1133,103,923-FW,2017/9/28 13:47,0,浆ó,2017/9/28 14:31,6,眃贾,20,22,20,2
EasyCard,47000,1182524392,1,穛ρ1布,1133,103,923-FW,2017/9/29 13:47,0,浆ó,2017/9/29 14:29,6,眃贾,20,22,20,2
EasyCard,47000,1182524392,1,穛ρ1布,1133,142,978-FW,2017/9/13 13:50,0,浆ó,2017/9/13 14:29,6,眃贾,20,22,20,2
EasyCard,47000,1182524392,1,穛ρ1布,1133,247,952-FW,2017/9/2 14:08,0,浆ó,2017/9/2 14:27,6,眃贾,20,22,20,2
EasyCard,47000,1182524392,1,穛ρ1布,1133,247,952-FW,2017/9/4 13:46,0,浆ó,2017/9/4 16:23,17,ぱ不,78,89,78,11
EasyCard,47000,1182524392,1,穛ρ1布,1133,247,952-FW,2017/9/4 16:36,17,ぱ不,2017/9/4 17:44,6,眃贾,58,66,58,8
EasyCard,47000,1182524392,1,穛ρ1布,1133,247,952-FW,2017/9/22 13:44,0,浆ó,2017/9/22 14:32,6,眃贾,20,22,20,2
EasyCard,47000,1182524392,1,穛ρ1布,1133,280,925-FW,2017/9/7 13:48,0,浆ó,2017/9/7 15:38,17,ぱ不,78,89,78,11
EasyCard,47000,1182524392,1,穛ρ1布,1133,280,925-FW,2017/9/7 16:33,17,ぱ不,2017/9/7 17:57,14,匪痐,23,27,23,4
EasyCard,47000,1182530792,1,穛ρ1布,1133,219,919-FW,2017/9/23 14:07,0,浆ó,2017/9/23 14:27,5,瓾,17,19,17,2
EasyCard,47000,119013617,0,布,1133,105,950-FW,2017/9/4 14:39,15,嘹也爵,2017/9/4 15:26,12,び緗徽,21,49,43,6
EasyCard,47000,1196362728,1,穛ρ1布,1133,206,977-FW,2017/9/6 13:41,0,浆ó,2017/9/6 16:25,17,ぱ不,78,89,78,11
EasyCard,47000,1196362728,1,穛ρ1布,1133,206,977-FW,2017/9/6 16:27,17,ぱ不,2017/9/6 18:45,0,浆ó,78,89,78,11
EasyCard,47000,1196362728,1,穛ρ1布,1133,279,931-FW,2017/9/30 13:46,0,浆ó,2017/9/30 16:27,17,ぱ不,78,89,78,11
EasyCard,47000,1196362728,1,穛ρ1布,1133,279,931-FW,2017/9/30 16:37,17,ぱ不,2017/9/30 18:43,0,浆ó,78,89,78,11
EasyCard,47000,1196362728,1,穛ρ1布,1133,280,925-FW,2017/9/27 13:35,0,浆ó,2017/9/27 16:26,17,ぱ不,78,89,78,11
EasyCard,47000,1196362728,1,穛ρ1布,1133,280,925-FW,2017/9/27 16:27,17,ぱ不,2017/9/27 18:39,0,浆ó,78,89,78,11
EasyCard,47000,1197121768,1,穛ρ1布,1133,111,420-FQ,2017/9/1 13:55,17,ぱ不,2017/9/1 16:02,0,浆ó,78,89,78,11
EasyCard,47000,1197121768,1,穛ρ1布,1133,111,420-FQ,2017/9/8 10:38,0,浆ó,2017/9/8 12:47,17,ぱ不,78,89,78,11
EasyCard,47000,1197121768,1,穛ρ1布,1133,111,420-FQ,2017/9/8 13:52,17,ぱ不,2017/9/8 15:57,0,浆ó,78,89,78,11
EasyCard,47000,1197121768,1,穛ρ1布,1133,111,420-FQ,2017/9/12 10:40,0,浆ó,2017/9/12 12:45,17,ぱ不,78,89,78,11
EasyCard,47000,1197121768,1,穛ρ1布,1133,111,420-FQ,2017/9/12 13:50,17,ぱ不,2017/9/12 16:31,0,浆ó,78,89,78,11
EasyCard,47000,1197121768,1,穛ρ1布,1133,111,429-FQ,2017/9/26 13:50,17,ぱ不,2017/9/26 15:53,0,浆ó,78,89,78,11
EasyCard,47000,1197136872,1,穛ρ1布,1133,142,978-FW,2017/9/15 14:05,0,浆ó,2017/9/15 14:25,3,古ń,14,16,14,2
EasyCard,47000,1197136872,1,穛ρ1布,1133,227,430-FQ,2017/9/29 11:19,2,浆,2017/9/29 11:50,9,╭狶,23,26,23,3
EasyCard,47000,1228235218,0,布,1133,123,955-FW,2017/9/19 11:06,0,浆ó,2017/9/19 11:16,2,浆,10,24,21,3
EasyCard,47000,1229307042,0,布,1141,135,927-FW,2017/9/2 09:31,10,穝,2017/9/2 09:35,12,び緗徽,21,24,21,3
EasyCard,47000,123436401,0,布,1133,144,951-FW,2017/9/7 10:46,0,浆ó,2017/9/7 11:11,0,浆ó,10,24,21,3
EasyCard,47000,1269224123,0,布,1133,120,423-FQ,2017/9/22 14:24,15,嘹也爵,2017/9/22 16:24,0,浆ó,65,148,130,18
EasyCard,47000,1276023179,0,布,1133,219,919-FW,2017/9/23 14:57,10,穝,2017/9/23 15:44,17,ぱ不,41,94,83,11
EasyCard,47000,131083910,0,布,1141,135,927-FW,2017/9/26 19:00,0,浆ó,2017/9/26 19:17,0,浆ó,21,24,21,3
EasyCard,47000,1320603734,0,布,1133,219,919-FW,2017/9/23 17:24,12,び緗徽,2017/9/23 18:24,0,浆ó,43,99,87,12
EasyCard,47000,132979738,5,厩ネ布,1133,142,978-FW,2017/9/5 13:47,0,浆ó,2017/9/5 13:58,0,浆ó,10,24,21,3
EasyCard,47000,136957441,0,布,1133,151,495-FQ,2017/9/16 15:48,0,浆ó,2017/9/16 15:54,0,浆ó,10,24,21,3
EasyCard,47000,139144433,0,布,1133,158,926-FW,2017/9/1 16:39,17,ぱ不,2017/9/1 18:42,0,浆ó,77,177,155,22
EasyCard,47000,1414052388,0,布,1133,103,923-FW,2017/9/28 13:47,0,浆ó,2017/9/28 13:59,0,浆ó,10,24,21,3
EasyCard,47000,1432602416,5,厩ネ布,1141,135,927-FW,2017/9/2 16:07,24,拉,2017/9/2 16:10,24,拉,21,24,21,3
EasyCard,47000,1433360374,0,布,1133,247,952-FW,2017/9/22 13:53,0,浆ó,2017/9/22 14:26,5,瓾,16,38,33,5
EasyCard,47000,143407855,0,布,1133,144,951-FW,2017/9/18 14:34,13,琄爵,2017/9/18 15:48,0,浆ó,48,110,97,13
EasyCard,47000,1438465882,1,穛ρ1布,1133,123,955-FW,2017/9/19 14:01,17,ぱ不,2017/9/19 16:26,0,浆ó,78,89,78,11
EasyCard,47000,1438465882,1,穛ρ1布,1133,274,917-FW,2017/9/17 13:48,0,浆ó,2017/9/17 14:04,0,浆ó,11,12,11,1
EasyCard,47000,144057670,0,布,1133,142,978-FW,2017/9/15 13:43,0,浆ó,2017/9/15 13:58,0,浆ó,10,24,21,3
EasyCard,47000,145890225,5,厩ネ布,1141,135,927-FW,2017/9/2 08:39,0,浆ó,2017/9/2 09:38,13,琄爵,91,104,91,13
EasyCard,47000,1467778132,0,布,1141,135,927-FW,2017/9/20 08:38,0,浆ó,2017/9/20 09:02,2,浆,21,24,21,3
EasyCard,47000,1473138703,0,布,1141,135,927-FW,2017/9/26 16:19,24,拉,2017/9/26 17:51,17,ぱ不,161,183,161,22
EasyCard,47000,1474246575,0,布,1133,120,423-FQ,2017/9/22 15:26,12,び緗徽,2017/9/22 16:44,0,浆ó,43,99,87,12
EasyCard,47000,1490573800,1,穛ρ1布,1126,135,927-FW,2017/9/30 10:10,2,浆,2017/9/30 10:19,0,浆ó,11,12,11,1
EasyCard,47000,1490973672,3,稲み布,1133,175,493-FQ,2017/9/26 14:19,2,浆,2017/9/26 14:29,5,瓾,11,12,11,1
EasyCard,47000,1491787240,3,稲み布,1133,274,917-FW,2017/9/17 14:04,0,浆ó,2017/9/17 15:03,11,碔,43,48,43,5
EasyCard,47000,1491787240,3,稲み布,1133,274,917-FW,2017/9/17 15:06,12,び緗徽,2017/9/17 15:06,12,び緗徽,11,12,11,1
EasyCard,47000,1492279016,1,穛ρ1布,1133,247,952-FW,2017/9/20 13:46,0,浆ó,2017/9/20 13:56,0,浆ó,11,12,11,1
EasyCard,47000,1492388584,1,穛ρ1布,1133,144,951-FW,2017/9/28 15:14,5,瓾,2017/9/28 15:34,0,浆ó,17,19,17,2
EasyCard,47000,1492388584,1,穛ρ1布,1133,151,495-FQ,2017/9/16 15:16,5,瓾,2017/9/16 15:39,0,浆ó,17,19,17,2
EasyCard,47000,1493394408,3,稲み布,1126,135,927-FW,2017/9/14 10:42,2,浆,2017/9/14 10:48,0,浆ó,11,12,11,1
EasyCard,47000,1493406440,3,稲み布,1133,247,952-FW,2017/9/4 13:46,0,浆ó,2017/9/4 14:03,0,浆ó,11,12,11,1
EasyCard,47000,1500652264,1,穛ρ1布,1133,134,426-FQ,2017/9/23 11:16,1,盵,2017/9/23 12:48,17,ぱ不,70,80,70,10
EasyCard,47000,1500652264,1,穛ρ1布,1133,134,426-FQ,2017/9/23 13:59,17,ぱ不,2017/9/23 16:04,0,浆ó,78,89,78,11
EasyCard,47000,1504194191,0,布,1133,134,426-FQ,2017/9/23 15:44,1,盵,2017/9/23 16:03,0,浆ó,10,24,21,3
EasyCard,47000,1510215599,0,布,1141,135,927-FW,2017/9/2 08:37,0,浆ó,2017/9/2 09:56,16,厚,131,149,131,18
EasyCard,47000,1511326383,0,布,1133,134,428-FQ,2017/9/5 14:21,15,嘹也爵,2017/9/5 14:42,13,琄爵,16,37,33,4
EasyCard,47000,1511326383,0,布,1141,135,927-FW,2017/9/5 08:47,0,浆ó,2017/9/5 09:59,16,厚,131,149,131,18
EasyCard,47000,1511326383,0,布,1141,135,927-FW,2017/9/5 18:21,12,び緗徽,2017/9/5 19:02,0,浆ó,81,92,81,11
EasyCard,47000,1511335151,0,布,1133,134,428-FQ,2017/9/5 14:21,15,嘹也爵,2017/9/5 14:42,13,琄爵,16,37,33,4
EasyCard,47000,1511335151,0,布,1141,135,927-FW,2017/9/5 08:47,0,浆ó,2017/9/5 09:59,16,厚,131,149,131,18
EasyCard,47000,1511335151,0,布,1141,135,927-FW,2017/9/5 18:21,12,び緗徽,2017/9/5 19:02,0,浆ó,81,92,81,11
EasyCard,47000,1511828495,0,布,1133,138,953-FW,2017/9/20 11:56,10,穝,2017/9/20 12:19,15,嘹也爵,28,65,57,8
EasyCard,47000,1513617071,0,布,1133,105,950-FW,2017/9/4 15:26,12,び緗徽,2017/9/4 16:38,0,浆ó,43,99,87,12
EasyCard,47000,1513850767,0,布,1133,105,950-FW,2017/9/4 11:18,1,盵,2017/9/4 11:48,8,刺┮,21,48,42,6
EasyCard,47000,1513850767,0,布,1133,111,420-FQ,2017/9/8 11:16,1,盵,2017/9/8 11:44,8,刺┮,21,48,42,6
EasyCard,47000,1513980783,0,布,1126,135,927-FW,2017/9/21 10:47,16,厚,2017/9/21 11:12,12,び緗徽,50,57,50,7
EasyCard,47000,153988902,0,布,1133,142,978-FW,2017/9/5 16:56,15,嘹也爵,2017/9/5 18:25,0,浆ó,65,148,130,18
EasyCard,47000,155388705,0,布,1126,135,927-FW,2017/9/17 10:17,1,盵,2017/9/17 10:29,0,浆ó,21,24,21,3
EasyCard,47000,155388705,0,布,1126,135,927-FW,2017/9/25 06:48,1,盵,2017/9/25 06:58,5,瓾,21,24,21,3
EasyCard,47000,155388705,0,布,1126,135,927-FW,2017/9/25 10:41,5,瓾,2017/9/25 10:53,1,盵,21,24,21,3
EasyCard,47000,155863745,0,布,1133,227,430-FQ,2017/9/29 14:18,15,嘹也爵,2017/9/29 14:53,10,穝,28,65,57,8
EasyCard,47000,1561425583,0,布,1133,151,948-FW,2017/9/30 12:05,12,び緗徽,2017/9/30 12:19,15,嘹也爵,21,49,43,6
EasyCard,47000,156150929,0,布,1133,111,429-FQ,2017/9/26 14:38,13,琄爵,2017/9/26 14:44,12,び緗徽,11,25,22,3
EasyCard,47000,156150929,0,布,1133,280,925-FW,2017/9/27 14:08,0,浆ó,2017/9/27 14:10,1,盵,10,24,21,3
EasyCard,47000,1564537775,0,布,1141,135,927-FW,2017/9/9 19:21,0,浆ó,2017/9/9 19:26,0,浆ó,21,24,21,3
EasyCard,47000,1573732079,0,布,1133,205,949-FW,2017/9/17 10:55,0,浆ó,2017/9/17 12:44,17,ぱ不,77,177,155,22
EasyCard,47000,1586704360,1,穛ρ1布,1133,111,420-FQ,2017/9/12 11:10,0,浆ó,2017/9/12 11:16,2,浆,11,12,11,1
EasyCard,47000,1586704360,1,穛ρ1布,1133,111,429-FQ,2017/9/26 11:11,0,浆ó,2017/9/26 11:17,2,浆,11,12,11,1
EasyCard,47000,1586704360,1,穛ρ1布,1133,138,953-FW,2017/9/25 10:43,0,浆ó,2017/9/25 11:14,2,浆,11,12,11,1
EasyCard,47000,1586704360,1,穛ρ1布,1133,151,948-FW,2017/9/30 10:45,0,浆ó,2017/9/30 11:14,2,浆,11,12,11,1
EasyCard,47000,1586704360,1,穛ρ1布,1133,175,938-FW,2017/9/14 10:52,0,浆ó,2017/9/14 11:19,2,浆,11,12,11,1
EasyCard,47000,1586965480,1,穛ρ1布,1133,138,953-FW,2017/9/20 10:39,0,浆ó,2017/9/20 12:45,17,ぱ不,78,89,78,11
EasyCard,47000,1587286128,0,布,1133,175,493-FQ,2017/9/24 15:01,13,琄爵,2017/9/24 15:16,10,穝,12,28,24,4
EasyCard,47000,1587653608,1,穛ρ1布,1133,279,931-FW,2017/9/25 13:44,0,浆ó,2017/9/25 16:26,17,ぱ不,78,89,78,11
EasyCard,47000,1587653608,1,穛ρ1布,1133,279,931-FW,2017/9/25 16:26,17,ぱ不,2017/9/25 18:41,0,浆ó,78,89,78,11
EasyCard,47000,1587653608,1,穛ρ1布,1133,279,931-FW,2017/9/30 13:46,0,浆ó,2017/9/30 16:27,17,ぱ不,78,89,78,11
EasyCard,47000,1587653608,1,穛ρ1布,1133,279,931-FW,2017/9/30 16:37,17,ぱ不,2017/9/30 18:43,0,浆ó,78,89,78,11
EasyCard,47000,1596238415,0,布,1133,206,977-FW,2017/9/10 17:28,12,び緗徽,2017/9/10 18:27,0,浆ó,43,99,87,12
EasyCard,47000,1597538024,1,穛ρ1布,1133,134,426-FQ,2017/9/23 10:47,0,浆ó,2017/9/23 10:59,0,浆ó,11,12,11,1
EasyCard,47000,1600242469,1,穛ρ1布,1141,135,927-FW,2017/9/26 08:40,0,浆ó,2017/9/26 08:56,0,浆ó,11,12,11,1
EasyCard,47000,1600549487,0,布,1133,138,953-FW,2017/9/25 14:24,16,厚,2017/9/25 14:53,12,び緗徽,31,71,63,8
EasyCard,47000,1601524661,0,布,1133,182,496-FQ,2017/9/2 14:17,15,嘹也爵,2017/9/2 14:34,13,琄爵,16,37,33,4
EasyCard,47000,1605089696,5,厩ネ布,1133,274,917-FW,2017/9/17 17:18,12,び緗徽,2017/9/17 18:24,0,浆ó,43,99,87,12
EasyCard,47000,1608134869,5,厩ネ布,1141,135,927-FW,2017/9/26 08:56,0,浆ó,2017/9/26 10:09,15,嘹也爵,111,127,111,16
EasyCard,47000,1608236517,5,厩ネ布,1133,134,428-FQ,2017/9/5 12:38,15,嘹也爵,2017/9/5 12:43,17,ぱ不,12,29,25,4
EasyCard,47000,1609092181,5,厩ネ布,1133,182,496-FQ,2017/9/2 14:17,15,嘹也爵,2017/9/2 14:36,13,琄爵,16,37,33,4
EasyCard,47000,1609128069,5,厩ネ布,1133,105,950-FW,2017/9/4 10:47,0,浆ó,2017/9/4 12:36,15,嘹也爵,65,148,130,18
EasyCard,47000,1609128069,5,厩ネ布,1133,123,955-FW,2017/9/3 10:49,0,浆ó,2017/9/3 12:02,12,び緗徽,43,99,87,12
EasyCard,47000,1609128069,5,厩ネ布,1133,247,952-FW,2017/9/4 17:24,11,碔,2017/9/4 18:10,0,浆ó,42,96,85,11
EasyCard,47000,1609144805,0,布,1133,144,951-FW,2017/9/7 12:33,15,嘹也爵,2017/9/7 12:50,17,ぱ不,12,29,25,4
EasyCard,47000,1613212469,5,厩ネ布,1141,135,927-FW,2017/9/2 18:22,12,び緗徽,2017/9/2 19:01,0,浆ó,81,92,81,11
EasyCard,47000,1616098181,0,布,1133,247,952-FW,2017/9/4 16:18,15,嘹也爵,2017/9/4 16:23,17,ぱ不,12,29,25,4
EasyCard,47000,1617199080,1,穛ρ1布,1133,206,977-FW,2017/9/6 13:47,0,浆ó,2017/9/6 14:16,2,浆,11,12,11,1
EasyCard,47000,1617199080,1,穛ρ1布,1141,135,927-FW,2017/9/2 08:38,0,浆ó,2017/9/2 09:59,17,ぱ不,69,78,69,9
EasyCard,47000,1617354472,1,穛ρ1布,1133,142,978-FW,2017/9/5 13:59,0,浆ó,2017/9/5 14:41,8,刺┮,29,33,29,4
EasyCard,47000,1617354472,1,穛ρ1布,1133,142,978-FW,2017/9/13 14:15,2,浆,2017/9/13 14:39,8,刺┮,19,22,19,3
EasyCard,47000,1617388566,0,布,1126,135,927-FW,2017/9/21 10:47,16,厚,2017/9/21 11:12,12,び緗徽,50,57,50,7
EasyCard,47000,1617857000,3,稲み布,1133,189,427-FQ,2017/9/21 10:39,0,浆ó,2017/9/21 12:54,17,ぱ不,78,89,78,11
EasyCard,47000,1617857000,3,稲み布,1133,189,427-FQ,2017/9/21 13:54,17,ぱ不,2017/9/21 16:04,0,浆ó,78,89,78,11
EasyCard,47000,1617875688,3,稲み布,1133,151,495-FQ,2017/9/16 11:11,0,浆ó,2017/9/16 11:34,3,古ń,14,16,14,2
EasyCard,47000,1617875688,3,稲み布,1133,219,919-FW,2017/9/15 15:32,1,盵,2017/9/15 15:39,0,浆ó,11,12,11,1
EasyCard,47000,1617973480,1,穛ρ1布,1133,111,420-FQ,2017/9/1 11:07,0,浆ó,2017/9/1 11:56,10,穝,36,41,36,5
EasyCard,47000,1617973480,1,穛ρ1布,1133,123,955-FW,2017/9/3 11:06,0,浆ó,2017/9/3 11:52,10,穝,36,41,36,5
EasyCard,47000,1617973480,1,穛ρ1布,1133,138,953-FW,2017/9/20 11:06,0,浆ó,2017/9/20 11:52,10,穝,36,41,36,5
EasyCard,47000,1617973480,1,穛ρ1布,1133,151,495-FQ,2017/9/16 11:10,0,浆ó,2017/9/16 12:03,10,穝,36,41,36,5
EasyCard,47000,1618085608,3,稲み布,1133,219,919-FW,2017/9/23 14:16,1,盵,2017/9/23 14:33,7,芖,18,20,18,2
EasyCard,47000,1618085608,3,稲み布,1141,135,927-FW,2017/9/5 09:17,5,瓾,2017/9/5 09:29,9,╭狶,15,17,15,2
EasyCard,47000,1618085608,3,稲み布,1141,135,927-FW,2017/9/11 09:13,5,瓾,2017/9/11 09:26,9,╭狶,15,17,15,2
EasyCard,47000,1618085608,3,稲み布,1141,135,927-FW,2017/9/29 09:02,1,盵,2017/9/29 09:17,5,瓾,11,12,11,1
EasyCard,47000,1618356712,3,稲み布,1126,135,927-FW,2017/9/17 09:58,5,瓾,2017/9/17 10:33,0,浆ó,17,19,17,2
EasyCard,47000,1618356712,3,稲み布,1126,135,927-FW,2017/9/19 10:38,5,瓾,2017/9/19 11:02,0,浆ó,17,19,17,2
EasyCard,47000,1618591493,1,穛ρ1布,1133,138,953-FW,2017/9/20 15:26,12,び緗徽,2017/9/20 16:18,0,浆ó,44,50,44,6
EasyCard,47000,1618647784,1,穛ρ1布,1133,205,949-FW,2017/9/17 11:47,9,╭狶,2017/9/17 11:50,10,穝,11,12,11,1
EasyCard,47000,1618819621,3,稲み布,1133,111,429-FQ,2017/9/26 14:46,12,び緗徽,2017/9/26 15:40,0,浆ó,44,50,44,6
EasyCard,47000,1618936565,0,布,1133,175,938-FW,2017/9/14 14:14,15,嘹也爵,2017/9/14 15:34,0,浆ó,65,148,130,18
EasyCard,47000,1618954693,1,穛ρ1布,1133,144,951-FW,2017/9/18 14:45,12,び緗徽,2017/9/18 15:46,0,浆ó,44,50,44,6
EasyCard,47000,1619128296,1,穛ρ1布,1141,135,927-FW,2017/9/11 09:01,1,盵,2017/9/11 09:28,10,穝,27,31,27,4
EasyCard,47000,1619183080,1,穛ρ1布,1133,219,919-FW,2017/9/15 15:23,3,古ń,2017/9/15 15:52,0,浆ó,14,16,14,2
EasyCard,47000,1619183080,1,穛ρ1布,1133,280,925-FW,2017/9/27 18:08,3,古ń,2017/9/27 18:37,0,浆ó,14,16,14,2
EasyCard,47000,1619251432,1,穛ρ1布,1133,105,950-FW,2017/9/4 11:23,2,浆,2017/9/4 11:56,10,穝,27,30,27,3
EasyCard,47000,1619251432,1,穛ρ1布,1133,111,420-FQ,2017/9/12 11:19,2,浆,2017/9/12 11:51,10,穝,27,30,27,3
EasyCard,47000,1619251432,1,穛ρ1布,1133,111,429-FQ,2017/9/26 11:21,2,浆,2017/9/26 11:49,10,穝,27,30,27,3
EasyCard,47000,1619251432,1,穛ρ1布,1133,120,423-FQ,2017/9/22 11:27,2,浆,2017/9/22 12:01,10,穝,27,30,27,3
EasyCard,47000,1619251432,1,穛ρ1布,1133,134,426-FQ,2017/9/23 11:22,2,浆,2017/9/23 11:49,10,穝,27,30,27,3
EasyCard,47000,1619251432,1,穛ρ1布,1133,138,953-FW,2017/9/25 11:18,2,浆,2017/9/25 11:45,10,穝,27,30,27,3
EasyCard,47000,1619251432,1,穛ρ1布,1133,144,951-FW,2017/9/13 11:15,2,浆,2017/9/13 11:40,10,穝,27,30,27,3
EasyCard,47000,1619251432,1,穛ρ1布,1133,144,951-FW,2017/9/28 11:16,2,浆,2017/9/28 11:47,10,穝,27,30,27,3
EasyCard,47000,1619251432,1,穛ρ1布,1133,151,948-FW,2017/9/30 11:17,2,浆,2017/9/30 11:46,10,穝,27,30,27,3
EasyCard,47000,1619251432,1,穛ρ1布,1133,175,493-FQ,2017/9/24 11:20,2,浆,2017/9/24 11:50,10,穝,27,30,27,3
EasyCard,47000,1619251432,1,穛ρ1布,1133,175,938-FW,2017/9/14 11:22,2,浆,2017/9/14 11:53,10,穝,27,30,27,3
EasyCard,47000,1619251432,1,穛ρ1布,1133,182,496-FQ,2017/9/2 11:18,2,浆,2017/9/2 11:46,10,穝,27,30,27,3
EasyCard,47000,1619251432,1,穛ρ1布,1133,189,427-FQ,2017/9/21 11:19,2,浆,2017/9/21 11:51,10,穝,27,30,27,3
EasyCard,47000,1619251432,1,穛ρ1布,1133,219,919-FW,2017/9/15 11:14,2,浆,2017/9/15 11:41,10,穝,27,30,27,3
